query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time
3104,300m,72,256,32,5,2.938233925819397
3136,300m,72,256,32,5,2.938233925819397
3168,300m,72,256,32,5,2.938233925819397
3200,300m,72,256,32,5,2.938233925819397
3232,300m,72,256,32,5,2.938233925819397
3264,300m,72,256,32,5,2.938233925819397
3296,300m,72,256,32,5,2.938233925819397
3328,300m,72,256,32,5,2.938233925819397
3360,300m,72,256,32,5,2.938233925819397
3392,300m,72,256,32,5,2.938233925819397
3424,300m,72,256,32,5,2.938233925819397
3456,300m,72,256,32,5,2.938233925819397
3488,300m,72,256,32,5,2.938233925819397
3520,300m,72,256,32,5,2.938233925819397
3552,300m,72,256,32,5,2.938233925819397
3584,300m,72,256,32,5,2.938233925819397
3616,300m,72,256,32,5,2.938233925819397
3648,300m,72,256,32,5,2.938233925819397
3680,300m,72,256,32,5,2.938233925819397
3712,300m,72,256,32,5,2.938233925819397
3744,300m,72,256,32,5,2.938233925819397
3776,300m,72,256,32,5,2.938233925819397
3808,300m,72,256,32,5,2.938233925819397
3840,300m,72,256,32,5,2.938233925819397
3872,300m,72,256,32,5,2.938233925819397
3904,300m,72,256,32,5,2.938233925819397
3936,300m,72,256,32,5,2.938233925819397
3968,300m,72,256,32,5,2.938233925819397
4000,300m,72,256,32,5,2.938233925819397
4032,300m,72,256,32,5,2.938233925819397
4064,300m,72,256,32,5,2.938233925819397
4096,300m,72,256,32,5,2.938233925819397
4128,300m,72,256,32,5,2.938233925819397
4160,300m,72,256,32,5,2.938233925819397
4192,300m,72,256,32,5,2.938233925819397
4224,300m,72,256,32,5,2.938233925819397
4256,300m,72,256,32,5,2.938233925819397
4288,300m,72,256,32,5,2.938233925819397
4320,300m,72,256,32,5,2.938233925819397
4352,300m,72,256,32,5,2.938233925819397
4384,300m,72,256,32,5,2.938233925819397
4416,300m,72,256,32,5,2.938233925819397
4448,300m,72,256,32,5,2.938233925819397
4480,300m,72,256,32,5,2.938233925819397
4512,300m,72,256,32,5,2.938233925819397
4544,300m,72,256,32,5,2.938233925819397
4576,300m,72,256,32,5,2.938233925819397
4608,300m,72,256,32,5,2.938233925819397
4640,300m,72,256,32,5,2.938233925819397
4672,300m,72,256,32,5,2.938233925819397
4704,300m,72,256,32,5,2.938233925819397
4736,300m,72,256,32,5,2.938233925819397
4768,300m,72,256,32,5,2.938233925819397
4800,300m,72,256,32,5,2.938233925819397
4832,300m,72,256,32,5,2.938233925819397
4864,300m,72,256,32,5,2.938233925819397
4896,300m,72,256,32,5,2.938233925819397
4928,300m,72,256,32,5,2.938233925819397
4960,300m,72,256,32,5,2.938233925819397
4992,300m,72,256,32,5,2.938233925819397
5024,300m,72,256,32,5,2.938233925819397
5056,300m,72,256,32,5,2.938233925819397
5088,300m,72,256,32,5,2.938233925819397
5120,300m,72,256,32,5,2.938233925819397
5152,300m,72,256,32,5,2.938233925819397
5184,300m,72,256,32,5,2.938233925819397
5216,300m,72,256,32,5,2.938233925819397
5248,300m,72,256,32,5,2.938233925819397
5280,300m,72,256,32,5,2.938233925819397
5312,300m,72,256,32,5,2.938233925819397
5344,300m,72,256,32,5,2.938233925819397
5376,300m,72,256,32,5,2.938233925819397
5408,300m,72,256,32,5,2.938233925819397
5440,300m,72,256,32,5,2.938233925819397
5472,300m,72,256,32,5,2.938233925819397
5504,300m,72,256,32,5,2.938233925819397
5536,300m,72,256,32,5,2.938233925819397
5568,300m,72,256,32,5,2.938233925819397
5600,300m,72,256,32,5,2.938233925819397
5632,300m,72,256,32,5,2.938233925819397
5664,300m,72,256,32,5,2.938233925819397
5696,300m,72,256,32,5,2.938233925819397
5728,300m,72,256,32,5,2.938233925819397
5760,300m,72,256,32,5,2.938233925819397
5792,300m,72,256,32,5,2.938233925819397
5824,300m,72,256,32,5,2.938233925819397
5856,300m,72,256,32,5,2.938233925819397
5888,300m,72,256,32,5,2.938233925819397
5920,300m,72,256,32,5,2.938233925819397
5952,300m,72,256,32,5,2.938233925819397
5984,300m,72,256,32,5,2.938233925819397
6016,300m,72,256,32,5,2.938233925819397
6048,300m,72,256,32,5,2.938233925819397
6080,300m,72,256,32,5,2.938233925819397
6112,300m,72,256,32,5,2.938233925819397
6144,300m,72,256,32,5,2.938233925819397
6176,300m,72,256,32,5,2.938233925819397
6208,300m,72,256,32,5,2.938233925819397
6240,300m,72,256,32,5,2.938233925819397
6272,300m,72,256,32,5,2.938233925819397
6304,300m,72,256,32,5,2.938233925819397
6336,300m,72,256,32,5,2.938233925819397
6368,300m,72,256,32,5,2.938233925819397
6400,300m,72,256,32,5,2.938233925819397
6432,300m,72,256,32,5,2.938233925819397
6464,300m,72,256,32,5,2.938233925819397
6496,300m,72,256,32,5,2.938233925819397
6528,300m,72,256,32,5,2.938233925819397
6560,300m,72,256,32,5,2.938233925819397
6592,300m,72,256,32,5,2.938233925819397
6624,300m,72,256,32,5,2.938233925819397
6656,300m,72,256,32,5,2.938233925819397
6688,300m,72,256,32,5,2.938233925819397
6720,300m,72,256,32,5,2.938233925819397
6752,300m,72,256,32,5,2.938233925819397
6784,300m,72,256,32,5,2.938233925819397
6816,300m,72,256,32,5,2.938233925819397
6848,300m,72,256,32,5,2.938233925819397
6880,300m,72,256,32,5,2.938233925819397
6912,300m,72,256,32,5,2.938233925819397
6944,300m,72,256,32,5,2.938233925819397
6976,300m,72,256,32,5,2.938233925819397
7008,300m,72,256,32,5,2.938233925819397
