query,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
11,"[0, 8, 10, 12, 18, 126, 127, 132]",8,0.1563279703259468,0.06205231137573719,0.2879785980912857,"[316195675, 347961149, 246469994, 127689114, 316205222, 335612984, 316205221, 505439277, 402151260, 575814845]","[18, 12, 12, 18, 18, 12, 18, 12, 12, 12]"
12,"[33, 49, 61, 82, 85, 96, 112, 146, 188, 221]",10,0.28695934545248747,0.05902244383469224,0.23809027376119046,"[143285814, 398227840, 150775094, 533066813, 416989615, 478916319, 559059925, 583463400, 255704802, 337200373]","[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]"
13,"[4, 20, 63, 70, 82, 84, 132, 174, 175, 192]",10,0.23538909666240215,0.06704628560692072,0.2250998264644295,"[269953808, 270017264, 53616989, 219464520, 269932498, 264374402, 21302424, 107532941, 53616990, 439849310]","[82, 82, 82, 70, 82, 132, 82, 132, 82, 82]"
14,"[82, 84, 105, 192, 228]",5,0.0688370787538588,0.03793354658409953,0.29859224846586585,"[2930195, 304291211, 5479281, 298156409, 435890273, 300724316, 214405047, 504375842, 531276114, 133995960]","[192, 192, 84, 192, 192, 192, 84, 192, 84, 84]"
15,"[25, 59, 107, 195, 210]",5,0.09109961288049817,0.025671315845102072,0.17933654421940445,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 107]"
16,"[88, 99, 135, 168, 196, 227, 233, 241]",8,0.13277692254632711,0.04969622427597642,0.2538042967498768,"[388372331, 477914499, 313295416, 94283698, 417756224, 81047150, 287698740, 413998749, 388567738, 84783145]","[168, 168, 168, 168, 168, 233, 168, 168, 168, 135]"
17,"[42, 76, 80, 113, 186, 187, 224, 225, 244]",9,0.2040112898685038,0.06110613187775016,0.2241047192364931,"[196567304, 37592602, 529191060, 119007154, 136475651, 519952557, 596950633, 138777038, 119958834, 125572012]","[244, 187, 76, 187, 225, 244, 244, 244, 244, 244]"
18,"[17, 32, 57, 81, 93, 99, 118, 174, 196, 200, 207, 227, 233]",13,0.1732481736689806,0.08790763048455119,0.29439882980659604,"[265372681, 560067270, 278479542, 395074565, 251637110, 211326331, 34614699, 174444878, 587245452, 34620824]","[17, 57, 57, 57, 57, 17, 57, 57, 57, 57]"
19,"[4, 10, 20, 58, 70, 82, 84, 132, 168, 169]",10,0.12574895098805428,0.14130713557824492,0.25663919725921003,"[596197374, 227781415, 342147203, 9720048, 543565046, 576495810, 598858826, 334192618, 511012465, 419574595]","[82, 82, 82, 84, 82, 82, 82, 82, 82, 82]"
20,"[7, 61, 112, 133, 147, 214]",6,0.08596682408824563,0.045350059401243925,0.3177871553537746,"[248237919, 161684376, 495988709, 529213090, 340338888, 565144556, 56535161, 369015536, 336166371, 591258100]","[133, 133, 133, 7, 7, 133, 61, 7, 133, 133]"
21,"[27, 32, 39, 60, 80, 112, 115, 206, 239, 240]",10,0.17411893233656883,0.07677058642730117,0.29575197377707807,"[386500007, 151614128, 553675511, 475316064, 432094449, 397264316, 418459871, 400925125, 35737299, 515335694]","[240, 60, 80, 60, 60, 80, 60, 80, 32, 240]"
22,"[1, 14, 32, 70, 81, 112, 133, 194]",8,0.17879274487495422,0.05488332035019994,0.2926474952546414,"[379643780, 555532837, 554217595, 296777012, 132324921, 572223798, 212577525, 402167117, 548783312, 2230657]","[14, 32, 14, 14, 14, 32, 14, 14, 32, 32]"
23,"[68, 183, 184]",3,0.027488602325320244,0.016299529932439327,0.16865115077234805,"[393766925, 19968356, 99327655, 596615355, 352440645, 554747697, 438096438, 304593819, 583417332, 526692998]","[68, 68, 68, 183, 68, 68, 68, 68, 68, 68]"
24,"[1, 32, 42, 53, 60, 75, 76, 80, 106, 109, 112, 206, 209]",13,0.27793840784579515,0.08659018529579043,0.2532932839463823,"[438347522, 191429128, 166583047, 475147446, 319869863, 506900661, 4309318, 407954257, 566145788, 504107628]","[42, 206, 80, 206, 42, 42, 42, 206, 42, 206]"
25,"[14, 17, 32, 93, 192, 239]",6,0.09620418027043343,0.049081307370215654,0.361914671297806,"[275996305, 574080995, 39550384, 422125669, 575850420, 345012085, 39822135, 268603873, 65428933, 476136084]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
26,"[1, 30, 37, 61, 77, 93, 112, 217, 228]",9,0.2558640060015023,0.07964829262346029,0.3544615810064392,"[9260592, 255137588, 171602438, 53821041, 128351388, 418888803, 40935707, 439693144, 350535457, 75050458]","[1, 228, 93, 93, 77, 93, 93, 93, 228, 228]"
